"168,180,118"	
"169,179,118"	
"191,199,140"	
"168,180,118"	
"169,179,118"	
"191,199,140"	
"203,171,132"	
"199,167,128"	
"182,150,111"	
"133,121,73"	
"120,107,62"	
"162,149,104"	
"144,151,83"	
"142,149,81"	
"140,147,79"	
"161,163,98"	
"155,157,92"	
"149,151,86"	
"183,171,121"	
"189,177,127"	
"200,186,137"	
"131,97,62"	
"182,148,113"	
"184,150,115"	
"208,185,143"	
"197,174,132"	
"173,150,108"	
"165,178,109"	
"165,178,109"	
"167,180,111"	
"126,142,80"	
"125,141,79"	
"124,140,78"	
"168,167,87"	
"166,165,85"	
"167,168,88"	
"157,166,85"	
"153,162,81"	
"152,161,80"	
"137,151,74"	
"135,149,72"	
"133,147,70"	
"188,206,122"	
"176,194,110"	
"173,191,107"	
"163,180,65"	
"168,186,68"	
"159,177,59"	
"132,149,78"	
"131,148,77"	
"130,148,74"	
"240,241,175"	
"233,234,168"	
"234,237,170"	
"147,142,78"	
"130,124,62"	
"129,123,61"	
"167,174,97"	
"173,180,103"	
"173,179,107"	
"185,144,90"	
"176,137,82"	
"179,140,85"	
"111,122,46"	
"108,119,43"	
"107,118,42"	
"111,122,46"	
"108,119,43"	
"107,118,42"	
"141,144,65"	
"132,135,58"	
"122,125,48"	
"118,150,74"	
"118,150,74"	
"115,147,71"	
"139,175,77"	
"136,172,74"	
"136,172,72"	
"125,173,97"	
"125,173,97"	
"125,173,97"	
"141,176,84"	
"138,173,81"	
"141,177,87"	
"182,221,142"	
"183,222,143"	
"181,222,143"	
"125,164,83"	
"121,160,79"	
"119,158,77"	
"181,211,121"	
"182,212,122"	
"182,215,124"	
"129,163,77"	
"131,165,79"	
"131,165,78"	
"180,217,121"	
"175,212,116"	
"174,211,115"	
"163,195,96"	
"160,195,95"	
"159,194,94"	
"160,185,91"	
"160,185,93"	
"159,184,92"	
"166,194,109"	
"164,189,105"	
"166,191,107"	
"132,175,83"	
"130,173,81"	
"130,173,81"	
"156,187,120"	
"155,186,119"	
"152,183,116"	
"179,150,94"	
"172,143,87"	
"168,139,83"	
"132,154,81"	
"131,153,80"	
"131,153,80"	
"168,197,104"	
"167,198,104"	
"166,197,103"	
"169,206,129"	
"168,205,128"	
"170,207,130"	
"136,180,83"	
"136,180,83"	
"137,181,84"	
"179,215,141"	
"181,217,143"	
"180,216,142"	
"136,179,87"	
"138,181,89"	
"140,183,91"	
"147,177,65"	
"148,178,66"	
"147,177,65"	
"145,177,92"	
"145,177,92"	
"143,175,90"	
"181,217,143"	
"178,214,140"	
"176,212,138"	
"144,177,90"	
"148,181,94"	
"148,181,94"	
"156,168,106"	
